Price,Close,High,Low,Open,Volume
5/12/2020,75.4484024,77.45448016,75.32726243,77.00383559,162301200
5/13/2020,74.53744507,76.54837363,73.46172121,75.62770513,200622400
5/14/2020,74.9953537,75.0559237,73.05468852,73.77668559,158929200
5/15/2020,74.55197906,74.59801286,72.73487901,72.76880176,166348400
5/18/2020,76.30850983,76.68162311,75.18433443,75.87483393,135178400
5/19/2020,75.86756134,77.17102151,75.83606376,76.32546669,101729600
5/20/2020,77.34305573,77.41331161,76.68647153,76.72523722,111504800
5/21/2020,76.76641846,77.74523171,76.5289814,77.20494466,102688800
5/22/2020,77.26067352,77.34304784,76.40300024,76.5047537,81803200
5/26/2020,76.73735046,78.55686832,76.6816234,78.37758347,125522000
5/27/2020,77.07170105,77.21707055,75.85545789,76.59441646,112945200
5/28/2020,77.10562897,78.36306307,76.47085639,76.74705182,133560800
5/29/2020,77.03047943,77.80819591,76.67432765,77.34786554,153532400
6/1/2020,77.97782898,78.09896899,76.85364609,76.98447938,80791200
6/2/2020,78.33880615,78.36303563,77.27035058,77.7113019,87642800
6/3/2020,78.77007294,79.03173948,78.08684156,78.65862621,104491200
6/4/2020,78.09169006,78.89121109,77.7185768,78.59321143,87560400
6/5/2020,80.31581116,80.37638115,78.31215844,78.34123085,137250400
6/8/2020,80.79068756,80.82461031,79.30309219,80.01297082,95654400
6/9/2020,83.34189606,83.73438848,80.43938635,80.47088393,147712400
6/10/2020,85.48606873,85.95366732,83.85067883,84.28920501,166651600
6/11/2020,81.3818512,85.05481691,81.28009774,84.63082691,201662400
6/12/2020,82.08444214,84.26496164,80.97480325,83.51874266,200146000
6/15/2020,83.09960938,83.75134312,80.57747385,80.7398047,138808800
6/16/2020,85.30193329,85.57329308,83.51875616,85.15172088,165428800
6/17/2020,85.18322754,86.10631378,85.06208753,86.04574378,114406400
6/18/2020,85.2171402,85.63386206,84.60901508,85.13960883,96820400
6/19/2020,84.73016357,86.38735792,83.62294218,85.92218445,264476000
6/22/2020,86.94701385,87.08995815,85.07661214,85.12264593,135445200
6/23/2020,88.80287933,90.22021867,87.77076427,88.18991129,212155600
6/24/2020,87.2353363,89.35044337,86.86222303,88.4322001,192623200
6/25/2020,88.39341736,88.43218304,86.63204476,87.3903822,137522400
6/26/2020,85.6774826,88.50973656,85.52968795,88.28926086,205256800
6/29/2020,87.65206146,87.74655422,85.10812136,85.58541328,130646000
6/30/2020,88.38372803,88.669624,87.22078716,87.2401663,140223200
7/1/2020,88.21656036,89.0039703,88.1681088,88.46126551,110737200
7/2/2020,88.21656036,89.75746489,88.10269587,89.12269252,114041600
7/6/2020,90.5763855,91.04398415,89.61210837,89.64360596,118655600
7/7/2020,90.29533386,91.73205249,90.18388713,90.95433576,112424400
7/8/2020,92.39832306,92.42982064,91.18449788,91.27172253,117092000
7/9/2020,92.79566193,93.34320968,91.74901059,93.28990779,125642800
